grower_id,season,activity,concentration_mg/kg,body_weight_kg,hours_per_month_by_activity,si_by_activity_min_mg/hour,si_by_activity_max_mg/hour,si_by_activity_mg/hour,si_indoor_mg/hour,ef_method_3_outdoor,avg_daily_dose_method_3_outdoor
6,Spring,Watering,400.0,67.9,7.5,13.575,31.674999999999997,22.625,1.375,0.01026272577996716,3.282863091912912e-05
6,Spring,Weeding,400.0,67.9,120.0,81.45,99.55000000000001,90.5,1.375,0.16420361247947457,0.0021010323788242637
7,Spring,Harvesting,400.0,87.8,20.0,13.575,31.674999999999997,22.625,1.375,0.027367268746579094,6.770126163732324e-05
7,Spring,Preparing beds,400.0,87.8,300.0,36.2,54.3,45.25,1.375,0.41050903119868637,0.0020310378491196963
7,Spring,Seeding,400.0,87.8,30.0,36.2,54.3,45.25,1.375,0.04105090311986864,0.00020310378491196967
7,Spring,Transplanting,400.0,87.8,14.0,81.45,99.55000000000001,90.5,1.375,0.019157088122605366,0.00018956353258450505
7,Spring,Watering,400.0,87.8,20.0,13.575,31.674999999999997,22.625,1.375,0.027367268746579094,6.770126163732324e-05
7,Spring,Weeding,400.0,87.8,10.0,81.45,99.55000000000001,90.5,1.375,0.013683634373289547,0.00013540252327464648
7,Summer,Harvesting,400.0,87.8,14.0,13.575,31.674999999999997,22.625,1.375,0.019157088122605366,4.739088314612626e-05
7,Summer,Preparing beds,400.0,87.8,150.0,36.2,54.3,45.25,1.375,0.20525451559934318,0.0010155189245598481
7,Summer,Seeding,400.0,87.8,60.0,36.2,54.3,45.25,1.375,0.08210180623973728,0.00040620756982393934
7,Summer,Transplanting,400.0,87.8,100.0,81.45,99.55000000000001,90.5,1.375,0.13683634373289547,0.0013540252327464645
7,Summer,Watering,400.0,87.8,30.0,13.575,31.674999999999997,22.625,1.375,0.04105090311986864,0.00010155189245598484
7,Summer,Weeding,400.0,87.8,30.0,81.45,99.55000000000001,90.5,1.375,0.04105090311986864,0.00040620756982393934
7,Fall,Harvesting,400.0,87.8,10.0,13.575,31.674999999999997,22.625,1.375,0.013683634373289547,3.385063081866162e-05
7,Fall,Preparing beds,400.0,87.8,160.0,36.2,54.3,45.25,1.375,0.21893814997263275,0.0010832201861971718
7,Fall,Seeding,400.0,87.8,15.0,36.2,54.3,45.25,1.375,0.02052545155993432,0.00010155189245598484
7,Fall,Transplanting,400.0,87.8,45.0,81.45,99.55000000000001,90.5,1.375,0.06157635467980296,0.0006093113547359089
7,Fall,Watering,400.0,87.8,60.0,13.575,31.674999999999997,22.625,1.375,0.08210180623973728,0.00020310378491196967
7,Fall,Weeding,400.0,87.8,15.0,81.45,99.55000000000001,90.5,1.375,0.02052545155993432,0.00020310378491196967
7,Winter,Harvesting,400.0,87.8,10.0,13.575,31.674999999999997,22.625,1.375,0.013683634373289547,3.385063081866162e-05
7,Winter,Preparing beds,400.0,87.8,28.0,36.2,54.3,45.25,1.375,0.03831417624521073,0.00018956353258450505
7,Winter,Seeding,400.0,87.8,0.0,36.2,54.3,45.25,1.375,0.0,0.0
7,Winter,Transplanting,400.0,87.8,4.0,81.45,99.55000000000001,90.5,1.375,0.005473453749315818,5.4161009309858574e-05
7,Winter,Watering,400.0,87.8,0.0,13.575,31.674999999999997,22.625,1.375,0.0,0.0
7,Winter,Weeding,400.0,87.8,4.0,81.45,99.55000000000001,90.5,1.375,0.005473453749315818,5.4161009309858574e-05
8,Fall,Harvesting,400.0,70.2,36.0,13.575,31.674999999999997,22.625,1.375,0.04926108374384237,0.00015241463517325586
8,Fall,Preparing beds,400.0,70.2,0.0,36.2,54.3,45.25,1.375,0.0,0.0
8,Fall,Seeding,400.0,70.2,0.0,36.2,54.3,45.25,1.375,0.0,0.0
8,Fall,Transplanting,400.0,70.2,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
8,Fall,Watering,400.0,70.2,7.5,13.575,31.674999999999997,22.625,1.375,0.01026272577996716,3.175304899442831e-05
8,Fall,Weeding,400.0,70.2,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
8,Winter,Harvesting,400.0,70.2,5.0,13.575,31.674999999999997,22.625,1.375,0.0068418171866447735,2.116869932961887e-05
8,Winter,Preparing beds,400.0,70.2,0.0,36.2,54.3,45.25,1.375,0.0,0.0
8,Winter,Seeding,400.0,70.2,0.0,36.2,54.3,45.25,1.375,0.0,0.0
8,Winter,Transplanting,400.0,70.2,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
8,Winter,Watering,400.0,70.2,0.0,13.575,31.674999999999997,22.625,1.375,0.0,0.0
8,Winter,Weeding,400.0,70.2,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
8,Spring,Harvesting,400.0,70.2,8.0,13.575,31.674999999999997,22.625,1.375,0.010946907498631636,3.386991892739019e-05
8,Spring,Preparing beds,400.0,70.2,10.0,36.2,54.3,45.25,1.375,0.013683634373289547,8.467479731847548e-05
8,Spring,Seeding,400.0,70.2,2.5,36.2,54.3,45.25,1.375,0.0034209085933223867,2.116869932961887e-05
8,Spring,Transplanting,400.0,70.2,40.0,81.45,99.55000000000001,90.5,1.375,0.05473453749315819,0.0006773983785478038
8,Spring,Watering,400.0,70.2,30.0,13.575,31.674999999999997,22.625,1.375,0.04105090311986864,0.00012701219597771325
8,Spring,Weeding,400.0,70.2,5.0,81.45,99.55000000000001,90.5,1.375,0.0068418171866447735,8.467479731847548e-05
8,Summer,Harvesting,400.0,70.2,125.0,13.575,31.674999999999997,22.625,1.375,0.17104542966611933,0.0005292174832404716
8,Summer,Preparing beds,400.0,70.2,10.0,36.2,54.3,45.25,1.375,0.013683634373289547,8.467479731847548e-05
8,Summer,Seeding,400.0,70.2,2.0,36.2,54.3,45.25,1.375,0.002736726874657909,1.6934959463695096e-05
8,Summer,Transplanting,400.0,70.2,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
8,Summer,Watering,400.0,70.2,0.8,13.575,31.674999999999997,22.625,1.375,0.0010946907498631637,3.3869918927390186e-06
